('00001', '001'),
('00002', '002'),
('00003', '003'),
('00004', '004'),
('00005', '005'),
('00006', '006'),
('00007', '007'),
('00008', '008'),
('00009', '009'),
('00010', '010'),
('00011', '011'),
('00012', '012'),
('00013', '013'),
('00014', '014'),
('00015', '015'),
('00016', '016'),
('00017', '017'),
('00018', '018'),
('00019', '019'),
('00020', '020'),
('00021', '021'),
('00022', '022'),
('00023', '023'),
('00024', '024'),
('00025', '025'),
('00026', '026'),
('00027', '002'),
('00027', '001'),
('00028', '003'),
('00028', '001'),
('00029', '003'),
('00029', '002'),
('00030', '004'),
('00030', '001'),
('00031', '004'),
('00031', '002'),
('00032', '004'),
('00032', '003'),
('00033', '005'),
('00033', '001'),
('00034', '005'),
('00034', '002'),
('00035', '005'),
('00035', '003'),
('00036', '005'),
('00036', '004'),
('00037', '006'),
('00037', '001'),
('00038', '006'),
('00038', '002'),
('00039', '006'),
('00039', '003'),
('00040', '006'),
('00040', '004'),
('00041', '006'),
('00041', '005'),
('00042', '007'),
('00042', '001'),
('00043', '007'),
('00043', '002'),
('00044', '007'),
('00044', '003'),
('00045', '007'),
('00045', '004'),
('00046', '007'),
('00046', '005'),
('00047', '007'),
('00047', '006'),
('00048', '008'),
('00048', '001'),
('00049', '008'),
('00049', '002'),
('00050', '008'),
('00050', '003'),
('00051', '008'),
('00051', '004'),
('00052', '008'),
('00052', '005'),
('00053', '008'),
('00053', '006'),
('00054', '008'),
('00054', '007'),
('00055', '009'),
('00055', '001'),
('00056', '009'),
('00056', '002'),
('00057', '009'),
('00057', '003'),
('00058', '009'),
('00058', '004'),
('00059', '009'),
('00059', '005'),
('00060', '009'),
('00060', '006'),
('00061', '009'),
('00061', '007'),
('00062', '009'),
('00062', '008'),
('00063', '010'),
('00063', '001'),
('00064', '010'),
('00064', '002'),
('00065', '010'),
('00065', '003'),
('00066', '010'),
('00066', '004'),
('00067', '010'),
('00067', '005'),
('00068', '010'),
('00068', '006'),
('00069', '010'),
('00069', '007'),
('00070', '010'),
('00070', '008'),
('00071', '010'),
('00071', '009'),
('00072', '011'),
('00072', '001'),
('00073', '011'),
('00073', '002'),
('00074', '011'),
('00074', '003'),
('00075', '011'),
